vertex	start_bl	finish_bl	proc_bl	variant_bl	vertex1	start_heft	finish_heft	proc_heft	variant_heft
fastqc_00000176	0	2916333.16666667	21	1	fastqc_00000176	0	2916333.16666667	21	1
bismark_deduplicate_00000189	261222487.826214	261222670.626214	11	1	bismark_deduplicate_00000189	45225995.925	45226178.725	35	1
bismark_deduplicate_00000021	372654069.947525	372654252.747525	35	1	bismark_deduplicate_00000021	39038283.2112047	39038466.0112047	31	1
bismark_deduplicate_00000045	283706116.618466	283706299.418466	11	1	bismark_deduplicate_00000045	45225995.925	45226178.725	34	1
bismark_deduplicate_00000129	372654069.947525	372654252.747525	34	1	bismark_deduplicate_00000129	39038283.2112047	39038466.0112047	30	1
bismark_deduplicate_00000093	283706116.773745	283706299.573745	10	1	bismark_deduplicate_00000093	30150664.3503775	30150847.1503775	11	1
bismark_deduplicate_00000081	261222487.981493	261222670.781493	9	1	bismark_deduplicate_00000081	32850570.2753775	32850753.0753775	11	1
bismark_deduplicate_00000117	283706116.929025	283706299.729025	9	1	bismark_deduplicate_00000117	30150664.505657	30150847.305657	10	1
bismark_deduplicate_00000057	283706116.618466	283706299.418466	8	1	bismark_deduplicate_00000057	30150664.3503775	30150847.1503775	9	1
bismark_deduplicate_00000141	372654069.947525	372654252.747525	33	1	bismark_deduplicate_00000141	32850570.2753775	32850753.0753775	10	1
bismark_deduplicate_00000105	283706117.084304	283706299.884304	7	1	bismark_deduplicate_00000105	39038283.455657	39038466.255657	11	1
bismark_deduplicate_00000033	283706116.773745	283706299.573745	6	1	bismark_deduplicate_00000033	45225995.925	45226178.725	32	1
bismark_deduplicate_00000006	372654069.947525	372654252.747525	32	1	bismark_deduplicate_00000006	39038283.3003775	39038466.1003775	10	1
bismark_deduplicate_00000153	283706299.418466	283706482.218466	11	1	bismark_deduplicate_00000153	30150664.505657	30150847.305657	8	1
bismark_deduplicate_00000069	306189745.010341	306189927.810341	31	1	bismark_deduplicate_00000069	39038283.3003775	39038466.1003775	9	1
bismark_deduplicate_00000177	306189745.010341	306189927.810341	30	1	bismark_deduplicate_00000177	45225995.925	45226178.725	33	1
bismark_deduplicate_00000165	283706299.418466	283706482.218466	8	1	bismark_deduplicate_00000165	39038283.455657	39038466.255657	8	1
bismark_methXtract_00000160	283706482.218466	283714122.143466	8	1	bismark_methXtract_00000160	39038466.255657	39046106.180657	8	1
bismark_methXtract_00000100	283706299.884304	283713939.809304	7	1	bismark_methXtract_00000100	39038466.255657	39046106.180657	11	1
bismark_methXtract_00000028	283706299.573745	283713939.498745	6	1	bismark_methXtract_00000028	45226178.725	45233818.65	32	1
bismark_methXtract_00000088	283706299.573745	283713939.498745	10	1	bismark_methXtract_00000088	30150850.3718144	30158490.2968144	7	1
bismark_methXtract_00000112	283706299.729025	283713939.654025	9	1	bismark_methXtract_00000112	30150850.5270939	30158490.4520939	6	1
bismark_methXtract_00000016	372654252.747525	372661892.672525	35	1	bismark_methXtract_00000016	39038466.0112047	39046105.9362046	31	1
bismark_methXtract_00000184	261222673.266457	261243046.399791	18	1	bismark_methXtract_00000184	45226178.725	45233818.65	35	1
bismark_methXtract_00000040	283706482.218466	283714122.143466	11	1	bismark_methXtract_00000040	45226178.725	45233818.65	34	1
bismark_methXtract_00000124	372654252.747525	372661892.672525	34	1	bismark_methXtract_00000124	39038466.0112047	39046105.9362046	30	1
bismark_methXtract_00000172	306189927.810341	306197567.735341	30	1	bismark_methXtract_00000172	45226178.725	45233818.65	33	1
bismark_methXtract_00000076	261222673.421737	261243046.55507	19	1	bismark_methXtract_00000076	32850756.2968144	32858396.2218144	7	1
bismark_methXtract_00000010	372654252.747525	372661892.672525	32	1	bismark_methXtract_00000010	39038466.1003775	39046106.0253775	10	1
bismark_methXtract_00000052	283713939.498745	283721579.423745	10	1	bismark_methXtract_00000052	30158490.4520939	30166130.3770939	6	1
bismark_methXtract_00000136	372654252.747525	372661892.672525	33	1	bismark_methXtract_00000136	32850756.2968144	32858396.2218144	6	1
bismark_methXtract_00000064	306189927.810341	306197567.735341	31	1	bismark_methXtract_00000064	39038466.1003775	39046106.0253775	9	1
bismark_methXtract_00000148	283713939.498745	283721579.423745	6	1	bismark_methXtract_00000148	30150849.9459009	30171223.0792342	18	1
qualimap_00000061	306189928.235391	306192417.060391	11	1	qualimap_00000061	39038466.6251037	39040955.4501037	7	1
qualimap_00000085	283706300.003803	283712936.87047	18	1	qualimap_00000085	32850755.129422	32857391.9960886	18	1
qualimap_00000097	283706300.314363	283712937.181029	19	1	qualimap_00000097	39038466.7803832	39040955.6053832	6	1
qualimap_00000073	261222672.835538	261229309.702204	20	1	qualimap_00000073	39040955.4501037	39043444.2751037	7	1
qualimap_00000037	283706484.27251	283713121.139177	20	1	qualimap_00000037	45226179.0553823	45228667.8803823	31	1
qualimap_00000049	283706301.47251	283712938.339177	21	1	qualimap_00000049	39040955.6053832	39043444.4303832	6	1
qualimap_00000181	283706484.537035	283713121.403701	22	1	qualimap_00000181	45226179.0553823	45228667.8803823	30	1
qualimap_00000169	306189928.235391	306192417.060391	10	1	qualimap_00000169	45226179.1500504	45228667.9750504	11	1
qualimap_00000133	372654253.077907	372656741.902907	31	1	qualimap_00000133	32850755.129422	32857391.9960886	19	1
qualimap_00000011	372654253.077907	372656741.902907	30	1	qualimap_00000011	39038466.5304357	39045103.3971023	18	1
qualimap_00000109	283706300.159083	283712937.02575	23	1	qualimap_00000109	39038466.7949599	39045103.6616266	19	1
qualimap_00000013	372654253.172575	372656741.997575	11	1	qualimap_00000013	39038466.341587	39045103.2082536	20	1
qualimap_00000025	283706300.003803	283716255.303804	29	1	qualimap_00000025	45226179.1500504	45228667.9750504	10	1
qualimap_00000145	283713939.654025	283716428.479025	9	1	qualimap_00000145	30150849.3597015	30157486.2263681	21	1
qualimap_00000121	372654253.172575	372656741.997575	10	1	qualimap_00000121	39038466.341587	39045103.2082536	21	1
qualimap_00000157	283713939.809304	283716428.634304	7	1	qualimap_00000157	39038466.6857152	39045103.5523818	22	1
bismark_report_00000186	306189934.119116	306190811.844116	9	1	bismark_report_00000186	45233818.65	45234696.375	35	1
bismark_report_00000078	306189936.501931	306190814.226931	8	1	bismark_report_00000078	45226185.0337747	45227062.7587747	7	1
bismark_report_00000054	306189938.884746	306190816.609747	7	1	bismark_report_00000054	39038470.9515921	39040811.5515921	23	1
bismark_report_00000138	372661892.672525	372662770.397525	33	1	bismark_report_00000138	45226185.0337747	45227062.7587747	6	1
bismark_report_00000174	306197567.735341	306198445.460341	9	1	bismark_report_00000174	45233818.65	45234696.375	33	1
bismark_report_00000126	372661892.672525	372662770.397525	34	1	bismark_report_00000126	45226185.033775	45227062.758775	9	1
bismark_report_00000018	372661892.672525	372662770.397525	35	1	bismark_report_00000018	45226185.033775	45227062.758775	8	1
bismark_report_00000042	306189934.119116	306190811.844116	6	1	bismark_report_00000042	45233818.65	45234696.375	34	1
bismark_report_00000090	306190811.844116	306191689.569116	6	1	bismark_report_00000090	39046110.7117438	39048451.3117438	18	1
bismark_report_00000008	372661892.672525	372662770.397525	32	1	bismark_report_00000008	45227062.7587747	45227940.4837747	7	1
bismark_report_00000066	306197567.735341	306198445.460341	8	1	bismark_report_00000066	45227062.7587747	45227940.4837747	6	1
bismark_report_00000114	306197573.879267	306198451.604267	7	1	bismark_report_00000114	39046113.0945593	39048453.6945593	19	1
bismark_report_00000150	306197573.879267	306198451.604267	6	1	bismark_report_00000150	39046110.7117438	39048451.3117438	20	1
bismark_report_00000030	306198445.460341	306199323.185341	9	1	bismark_report_00000030	45233818.65	45234696.375	32	1
bismark_report_00000102	306198445.460341	306199323.185341	8	1	bismark_report_00000102	45227062.758775	45227940.483775	9	1
bismark_report_00000162	306198451.604267	306199329.329267	6	1	bismark_report_00000162	45227062.758775	45227940.483775	8	1
preseq_00000007	372654253.312751	372654436.112751	9	1	preseq_00000007	45226183.9666841	45226671.4333507	18	1
preseq_00000059	306197572.812176	306198060.278843	18	1	preseq_00000059	39046108.630225	39046596.0968917	21	1
get_software_versions_00000190	0	731.2	24	1	get_software_versions_00000190	0	731.2	29	1
get_software_versions_00000058	0	731.2	25	1	get_software_versions_00000058	0	731.2	24	1
bismark_summary_00000146	306197572.967456	306198060.434122	19	1	bismark_summary_00000146	39046108.7855045	39046596.2521712	22	1
bismark_summary_00000009	372661892.672525	372662075.472525	31	1	bismark_summary_00000009	45226184.1219636	45226671.5886302	19	1
bismark_summary_00000050	306197573.122735	306198060.589402	20	1	bismark_summary_00000050	39046108.940784	39046596.4074506	23	1
get_software_versions_00000005	0	731.2	26	1	get_software_versions_00000005	0	731.2	25	1
get_software_versions_00000046	0	731.2	27	1	get_software_versions_00000046	0	731.2	26	1
get_software_versions_00000178	0	731.2	28	1	get_software_versions_00000178	0	731.2	27	1
bismark_summary_00000014	372661892.672525	372662075.472525	30	1	bismark_summary_00000014	45226183.9666841	45226671.4333507	20	1
preseq_00000047	306197575.194992	306198062.661658	21	1	preseq_00000047	45226183.9666841	45226671.4333507	21	1
preseq_00000023	372661893.072903	372662075.872903	11	1	preseq_00000023	45226184.1219636	45226671.5886302	22	1
preseq_00000191	306197573.278015	306198060.744681	22	1	preseq_00000191	45226184.2772431	45226671.7439097	23	1
get_software_versions_00000022	0	974.933333333333	12	1	get_software_versions_00000022	0	731.2	28	1
bismark_summary_00000038	306197575.350271	306198062.816938	23	1	bismark_summary_00000038	45233818.65	45234001.45	31	1
get_software_versions_00000034	0	974.933333333333	13	1	get_software_versions_00000034	0	974.933333333333	12	1
bismark_summary_00000026	306197573.433294	306198304.633294	29	1	bismark_summary_00000026	45233818.65	45234001.45	30	1
bismark_summary_00000182	306197573.588574	306198304.788574	24	1	bismark_summary_00000182	45233818.65	45234001.45	11	1
preseq_00000035	306197573.743853	306198304.943853	25	1	preseq_00000035	45233819.0503775	45234001.8503775	10	1
preseq_00000167	306197575.505551	306198306.705551	26	1	preseq_00000167	45233819.0503775	45234001.8503775	9	1
get_software_versions_00000166	0	974.933333333333	14	1	get_software_versions_00000166	0	974.933333333333	13	1
bismark_summary_00000086	306197575.66083	306198306.86083	27	1	bismark_summary_00000086	39046111.0130405	39046842.2130405	29	1
preseq_00000095	306197575.81611	306198307.01611	28	1	preseq_00000095	39046111.16832	39046842.36832	24	1
get_software_versions_00000130	0	974.933333333333	15	1	get_software_versions_00000130	0	974.933333333333	14	1
get_software_versions_00000094	0	974.933333333333	16	1	get_software_versions_00000094	0	974.933333333333	15	1
preseq_00000131	372654253.312751	372654436.112751	8	1	preseq_00000131	45233819.2056571	45234002.005657	8	1
get_software_versions_00000154	0	974.933333333333	17	1	get_software_versions_00000154	0	974.933333333333	16	1
bismark_summary_00000098	306198060.278843	306198547.74551	18	1	bismark_summary_00000098	45233819.0503775	45234001.8503775	7	1
preseq_00000179	306198060.434122	306198547.900789	19	1	preseq_00000179	45226183.9666841	45226915.1666841	29	1
preseq_00000107	306198060.589402	306198548.056069	20	1	preseq_00000107	45233819.205657	45234002.005657	6	1
bismark_summary_00000122	372661892.672525	372662075.472525	10	1	bismark_summary_00000122	45234001.45	45234184.25	31	1
get_software_versions_00000106	0	1462.4	5	1	get_software_versions_00000106	0	974.933333333333	17	1
get_software_versions_00000118	0	1462.4	4	1	get_software_versions_00000118	0	1462.4	5	1
bismark_summary_00000110	306198060.744681	306198548.211348	22	1	bismark_summary_00000110	39046111.3235995	39046842.5235995	25	1
bismark_summary_00000158	306198062.661658	306198550.128325	21	1	bismark_summary_00000158	45234001.45	45234184.25	30	1
preseq_00000119	306198062.816938	306198550.283605	23	1	preseq_00000119	39046111.478879	39046842.678879	26	1
get_software_versions_00000082	0	1462.4	3	1	get_software_versions_00000082	0	1462.4	4	1
bismark_summary_00000134	372661892.672525	372662075.472525	9	1	bismark_summary_00000134	45226184.1219636	45226915.3219636	24	1
preseq_00000083	306197574.118428	306198549.051762	12	1	preseq_00000083	45234001.45	45234184.25	11	1
bismark_summary_00000062	306197576.811803	306198551.745136	13	1	bismark_summary_00000062	45226184.277243	45226915.477243	25	1
preseq_00000071	306197576.967082	306198551.900416	14	1	preseq_00000071	45226184.4325225	45226915.6325225	26	1
preseq_00000143	372661893.072903	372662075.872903	8	1	preseq_00000143	45226184.587802	45226915.787802	27	1
bismark_summary_00000074	306197574.273708	306198549.207041	15	1	bismark_summary_00000074	45234001.8503775	45234184.6503775	7	1
preseq_00000155	306197574.428987	306198549.362321	16	1	preseq_00000155	39046109.0960635	39046840.2960635	28	1
get_software_versions_00000142	0	1462.4	2	1	get_software_versions_00000142	0	1462.4	3	1
bismark_summary_00000170	306197574.584267	306198549.5176	17	1	bismark_summary_00000170	45234001.8503775	45234184.6503775	10	1
get_software_versions_00000070	0	1462.4	1	1	get_software_versions_00000070	0	1462.4	2	1
multiqc_00000161	372661892.856761	372662075.656761	7	1	multiqc_00000161	45234184.25	45234367.05	30	1
multiqc_00000149	306199329.329267	306199512.129267	6	1	multiqc_00000149	45227940.5555258	45228428.0221924	20	1
multiqc_00000002	372662770.397525	372662953.197525	32	1	multiqc_00000002	45234001.8503775	45234184.6503775	9	1
multiqc_00000125	372662770.397525	372662953.197525	34	1	multiqc_00000125	45234184.25	45234367.05	31	1
output_documentation_00000187	0	1462.4	0	1	output_documentation_00000187	0	1462.4	1	1
output_documentation_00000139	1462.4	2924.8	5	1	output_documentation_00000139	0	1462.4	0	1
multiqc_00000017	372662770.397525	372662953.197525	35	1	multiqc_00000017	45234002.005657	45234184.805657	8	1
output_documentation_00000127	1462.4	2924.8	4	1	output_documentation_00000127	974.933333333333	1949.86666666667	12	1
output_documentation_00000012	1462.4	2924.8	3	1	output_documentation_00000012	974.933333333333	1949.86666666667	13	1
multiqc_00000137	372662770.397525	372662953.197525	33	1	multiqc_00000137	45234002.1184425	45234184.9184425	6	1
output_documentation_00000151	1462.4	2924.8	2	1	output_documentation_00000151	974.933333333333	1949.86666666667	14	1
output_documentation_00000091	1462.4	2924.8	1	1	output_documentation_00000091	974.933333333333	1949.86666666667	15	1
multiqc_00000065	372662075.944655	372662258.744655	31	1	multiqc_00000065	45234184.25	45234367.05	11	1
output_documentation_00000055	1462.4	2924.8	0	1	output_documentation_00000055	974.933333333333	1949.86666666667	16	1
output_documentation_00000067	2924.8	4387.2	5	1	output_documentation_00000067	974.933333333333	1949.86666666667	17	1
output_documentation_00000175	2924.8	4387.2	4	1	output_documentation_00000175	1949.86666666667	2924.8	12	1
multiqc_00000077	372662075.872903	372662258.672903	8	1	multiqc_00000077	45234184.6503775	45234367.4503775	7	1
multiqc_00000053	372662075.872905	372662258.672905	30	1	multiqc_00000053	45234184.6503775	45234367.4503775	10	1
multiqc_00000173	372662075.885273	372662258.685273	9	1	multiqc_00000173	45234696.375	45234879.175	33	1
output_documentation_00000079	2924.8	4387.2	3	1	output_documentation_00000079	1949.86666666667	2924.8	13	1
output_documentation_00000043	2924.8	4387.2	2	1	output_documentation_00000043	1949.86666666667	2924.8	14	1
multiqc_00000089	372662075.801446	372662258.601447	6	1	multiqc_00000089	45234184.6503775	45234367.4503775	9	1
output_documentation_00000019	2924.8	4387.2	1	1	output_documentation_00000019	1949.86666666667	2924.8	15	1
multiqc_00000041	372662075.956727	372662258.756727	11	1	multiqc_00000041	45234696.375	45234879.175	34	1
output_documentation_00000163	2924.8	4387.2	0	1	output_documentation_00000163	1949.86666666667	2924.8	16	1
multiqc_00000185	372662075.985688	372662258.785688	10	1	multiqc_00000185	45234696.375	45234879.175	35	1
multiqc_00000101	372662076.040552	372662258.840552	7	1	multiqc_00000101	45234184.805657	45234367.605657	8	1
output_documentation_00000031	4387.2	5849.6	5	1	output_documentation_00000031	1949.86666666667	2924.8	17	1
output_documentation_00000103	4387.2	5849.6	4	1	output_documentation_00000103	1462.4	2924.8	5	1
multiqc_00000113	372662258.601447	372662441.401447	6	1	multiqc_00000113	45234184.9184425	45234367.7184425	6	1
multiqc_00000029	372662258.672903	372662441.472903	8	1	multiqc_00000029	45234696.375	45234879.175	32	1
output_documentation_00000115	4387.2	5849.6	3	1	output_documentation_00000115	1462.4	2924.8	4	1

